Sample	Intensity	Prevalence	Year	Depth	Weight	Length	Sex	Stage	Age	Area
1	0	0	1999	220	148	26	0	0	0	2
2	0	0	1999	220	144	26	0	0	0	2
3	0	0	1999	220	146	27	0	0	0	2
4	0	0	1999	220	138	26	0	0	0	2
5	0	0	1999	220	40	17	0	0	0	2
6	0	0	1999	220	68	20	0	0	0	2
7	0	0	1999	220	52	19	0	0	0	2
8	0	0	1999	194	3848	77	0	0	0	3
9	0	0	1999	194	2576	67	0	0	0	3
10	0	0	1999	194	1972	60	0	0	0	3
11	0	0	1999	194	2272	62	0	0	0	3
12	0	0	1999	194	1046	49	0	0	0	3
13	0	0	1999	194	1186	52	0	0	0	3
14	0	0	1999	194	776	45	0	0	0	3
15	0	0	1999	194	2372	61	0	0	0	3
16	0	0	1999	194	1194	54	0	0	0	3
17	0	0	1999	194	3574	71	0	0	0	3
18	0	0	1999	194	2138	65	0	0	0	3
19	0	0	1999	194	2222	59	0	0	0	3
20	0	0	1999	194	2482	62	0	0	0	3
21	0	0	1999	194	2164	61	0	0	0	3
22	0	0	1999	194	1772	57	0	0	0	3
23	0	0	1999	194	494	39	0	0	0	3
24	0	0	1999	194	3130	67	0	0	0	3
25	0	0	1999	194	2708	65	0	0	0	3
26	0	0	1999	194	2394	66	0	0	0	3
27	0	0	1999	194	2212	64	0	0	0	3
28	0	0	1999	194	3110	65	0	0	0	3
29	0	0	1999	194	2218	62	0	0	0	3
30	0	0	1999	194	2222	60	0	0	0	3
31	0	0	1999	194	2398	62	0	0	0	3
32	0	0	1999	235	368	35	0	0	0	4
33	0	0	1999	235	306	34	0	0	0	4
34	0	0	1999	235	318	35	0	0	0	4
35	0	0	1999	235	276	32	0	0	0	4
36	0	0	1999	278	84	22	0	0	0	4
37	0	0	1999	51	1016	47	2	1	3	1
38	0	0	1999	51	1584	53	1	1	5	1
39	0	0	1999	51	1354	55	1	1	4	1
40	0	0	1999	51	1518	52	1	1	4	1
41	0	0	1999	51	1382	51	2	1	4	1
42	0	0	1999	51	1648	55	1	1	4	1
43	0	0	1999	51	1354	51	2	1	5	1
44	0	0	1999	51	1870	54	2	1	5	1
45	0	0	1999	51	1272	53	2	1	5	1
46	0	0	1999	51	1360	50	1	1	4	1
47	0	0	1999	51	936	45	2	1	3	1
48	0	0	1999	51	1650	55	2	1	5	1
49	0	0	1999	51	1504	53	1	1	5	1
50	0	0	1999	51	1008	48	2	1	3	1
51	0	0	1999	51	896	46	2	1	3	1
52	0	0	1999	51	3016	68	1	1	5	1
53	0	0	1999	85	470	37	1	1	2	1
54	0	0	1999	85	520	38	1	1	2	1
55	0	0	1999	85	470	38	1	1	2	1
56	0	0	1999	85	558	39	2	1	3	1
57	0	0	1999	85	3076	68	2	1	5	1
58	0	0	1999	85	1536	57	2	1	4	1
59	0	0	1999	85	1916	60	2	1	4	1
60	0	0	1999	85	320	32	1	1	2	1
61	0	0	1999	85	1152	49	1	1	4	1
62	0	0	1999	85	1284	54	1	1	5	1
63	0	0	1999	85	4712	80	1	1	7	1
64	0	0	1999	85	2182	60	2	1	4	1
65	0	0	1999	85	976	49	1	1	3	1
66	0	0	1999	85	408	36	1	1	2	1
67	0	0	1999	85	242	30	2	1	2	1
68	0	0	1999	85	644	41	2	1	3	1
69	0	0	1999	85	540	39	2	1	2	1
70	0	0	1999	85	326	33	1	1	2	1
71	0	0	1999	85	300	33	1	1	2	1
72	0	0	1999	85	232	29	2	1	2	1
73	0	0	1999	85	822	45	1	1	3	1
74	0	0	1999	85	692	43	1	1	3	1
75	0	0	1999	85	438	36	2	1	2	1
76	0	0	1999	85	406	35	2	1	2	1
77	0	0	1999	85	240	30	2	1	2	1
78	0	0	1999	85	358	34	1	1	2	1
79	0	0	1999	137	476	38	2	1	3	1
80	0	0	1999	137	1478	55	1	1	4	1
81	0	0	1999	137	1672	57	1	1	5	1
82	0	0	1999	137	1582	56	2	1	3	1
83	0	0	1999	137	390	35	2	1	2	1
84	0	0	1999	150	1816	59	1	1	5	2
85	0	0	1999	150	3888	71	1	1	5	2
86	0	0	1999	150	1986	58	1	1	4	2
87	0	0	1999	150	2524	66	1	1	5	2
88	0	0	1999	150	1712	59	2	1	4	2
89	0	0	1999	150	1968	58	2	1	4	2
90	0	0	1999	150	2764	64	1	1	5	2
91	0	0	1999	150	3412	69	1	1	5	2
92	0	0	1999	150	2294	63	1	1	5	2
93	0	0	1999	150	552	38	1	1	2	2
94	0	0	1999	150	1422	54	2	1	4	2
95	0	0	1999	150	1028	47	2	1	3	2
96	0	0	1999	150	466	38	2	1	2	2
97	0	0	1999	150	432	35	1	1	2	2
98	0	0	1999	150	300	31	2	1	2	2
99	0	0	1999	150	2706	67	1	1	5	2
100	0	0	1999	150	1154	52	1	1	3	2
101	0	0	1999	150	1146	52	1	1	4	2
