ID	SampleDepth	Sources	RelativeDepth
1	517	28.73	3422
2	582	27.9	3357
3	547	23.44	3392
4	614	18.33	3325
6	1005	11.23	2934
7	1036	11.06	2903
8	1100	10.57	2839
9	1490	8.92	2449
10	1520	7.26	2419
11	1550	6.6	2389
12	1587	6.44	2352
13	1972	4.29	1967
14	2003	3.8	1936
15	2034	3.63	1905
16	2068	2.81	1871
17	2444	2.48	1495
18	2504	1.98	1435
19	2477	1.32	1462
20	2536	1.32	1403
21	3722	0.83	217
22	3446	0.66	493
23	3630	0.66	309
24	3660	0.66	279
25	3939	0.66	0
26	3414	0.5	525
27	3505	0.5	434
28	3534	0.5	405
29	3912	0.5	27
30	3568	0.33	371
31	3789	0.17	150
32	3758	0	181
33	3818	0	121
34	501	21.53	3480
35	927	12.88	3054
36	865	12.53	3116
37	898	11.64	3083
38	955	11.47	3026
39	1319	10.23	2662
40	1380	9.17	2601
41	1412	8.82	2569
42	1352	7.94	2629
43	1799	6	2182
44	1767	4.59	2214
45	1828	3.88	2153
46	2300	3.71	1681
47	1857	3.18	2124
48	2243	2.47	1738
49	2212	2.29	1769
50	2267	2.29	1714
51	3333	1.41	648
52	3277	1.06	704
53	3394	1.06	587
54	3362	0.88	619
55	3164	0.71	817
56	3187	0.71	794
57	3249	0.71	732
58	3541	0.71	440
59	3423	0.53	558
60	3623	0.53	358
61	3857	0.53	124
62	3888	0.53	93
63	3448	0.35	533
64	3480	0.35	501
65	3509	0.35	472
66	3658	0.35	323
67	3716	0.35	265
68	3743	0.35	238
69	3771	0.35	210
70	3916	0.35	65
71	3219	0.18	762
72	3303	0.18	678
73	3565	0.18	416
74	3686	0.18	295
75	3798	0.18	183
76	3832	0.18	149
77	3595	0	386
78	516	24.43	3461
79	550	22.41	3427
80	591	20.07	3386
81	1053	12.14	2924
82	1020	11.05	2957
83	1090	10.74	2887
84	1125	9.65	2852
85	1555	8.25	2422
86	1588	7	2389
87	1626	6.85	2351
88	1662	4.82	2315
89	2131	2.49	1846
90	2169	2.49	1808
91	2202	2.49	1775
92	2097	1.87	1880
93	2625	1.87	1352
94	2656	1.71	1321
95	2726	1.09	1251
96	3965	1.09	12
97	3750	0.62	227
98	3790	0.62	187
99	3927	0.62	50
100	2692	0.47	1285
101	3890	0.47	87
102	3856	0.31	121
103	3716	0.16	261
104	3824	0.16	153
105	559	27.56	181
106	634	27.56	106
107	522	26.45	218
108	596	24.52	144
109	670	17.73	70
110	526	26.83	509
111	561	25.66	474
112	633	23.01715291	402
113	596	20.67	439
114	671	20.08503152	364
115	708	19.64521331	327
116	742	16.12666764	293
117	773	14.36739481	262
118	811	12.46151591	224
119	845	12.31490984	190
120	882	12.0216977	153
121	919	11.87509163	116
122	1305	33.91	2715
123	1355	33.59	2665
124	1257	32.3	2763
125	1208	29.71	2812
126	1750	20.02	2270
127	718	19.49	3302
128	818	18.41	3202
129	1796	16.79	2224
130	768	16.47	3252
131	668	16.26	3352
132	1847	12.92	2173
133	1899	9.15	2121
134	2386	2.15	1634
135	2289	1.94	1731
136	2335	1.83	1685
137	2435	1.61	1585
138	2828	1.4	1192
139	2875	0.75	1145
140	2975	0.75	1045
141	2927	0.65	1093
142	3415	0.43	605
143	3516	0.43	504
144	3367	0.32	653
145	3463	0.32	557
146	3897	0.22	123
147	3995	0.11	25
148	3946	0	74
149	1356.21	45.98	1130.79
150	1277.74	43.24	1209.26
151	1473.91	41.48	1013.09
152	1199.28	41.13	1287.72
153	1238.51	39.9	1248.49
154	1316.98	39.2	1170.02
155	1513.15	30.23	973.85
156	1591.62	30.23	895.38
157	1630.85	26.89	856.15
158	1081.57	25.95	1405.43
159	1552.38	24.78	934.62
160	650	24.26	1837
161	963.87	23.03	1523.13
162	689.23	22.68	1797.77
163	1003.11	22.5	1483.89
164	1042.34	21.8	1444.66
165	728.47	20.92	1758.53
166	924.64	18.98	1562.36
167	767.7	17.58	1719.3
168	806.94	17.09	1680.06
169	1748.55	16.35	738.45
170	1866.26	15.82	620.74
171	1905.49	14.55	581.51
172	2101.66	14.24	385.34
173	2023.19	13.89	463.81
174	2062.43	11.78	424.57
175	1787.79	11.25	699.21
176	1827.02	9.84	659.98
177	2140.89	6.15	346.11
178	2180.13	5.48	306.87
179	2337.06	4.39	149.94
180	2297.83	3.87	189.17
181	2376.3	3.34	110.7
182	2454.77	2.95	32.23
183	2415.53	1.76	71.47
184	1417	39.43	1080.46
185	1167	37.91	1329.82
186	1452	35.93	1044.82
187	1276	35.78	1221.47
188	1521	35.78	975.55
189	1132	33.49	1364.59
190	1203	32.28	1293.98
191	1487	30.6	1010.11
192	1658	30.14	838.74
193	1239	29.99	1257.68
194	1692	22.99	805.34
195	682	20.25	1815.03
196	922	20.1	1574.92
197	1760	19.64	737.2
198	1896	18.88	600.97
199	957	18.73	1539.85
200	715	18.57	1781.86
201	1930	17.51	566.82
202	1726	17.2	770.83
203	749	16.44	1747.56
204	887	16.14	1609.55
205	992	15.53	1504.79
206	1965	14.62	532.35
207	647	14.16	1849.63
208	1998	11.57	499.16
209	2133	8.07	363.81
210	2166	7.31	330.94
211	2200	5.48	297.09
212	2234	4.26	263
213	2438	2.89	59.02
