SampleID	Station	Time	Latitude	Longitude	Xkm	Ykm	Month	Year	BottomDepth	Season	Discovery
1	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
2	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
3	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
4	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
5	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
6	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
7	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
8	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
9	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
10	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
11	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
12	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
13	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
14	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
15	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
16	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
17	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
18	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
19	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
20	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
21	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
22	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
23	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
24	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
25	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
26	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
27	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
28	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
29	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
30	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
31	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
32	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
33	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252
34	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
35	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
36	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
37	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
38	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
39	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
40	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
41	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
42	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
43	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
44	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
45	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
46	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
47	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
48	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
49	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
50	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
51	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
52	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
53	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
54	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
55	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
56	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
57	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
58	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
59	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
60	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
61	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
62	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
63	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
64	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
65	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
66	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
67	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
68	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
69	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
70	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
71	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
72	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
73	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
74	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
75	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
76	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
77	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252
78	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
79	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
80	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
81	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
82	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
83	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
84	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
85	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
86	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
87	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
88	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
89	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
90	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
91	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
92	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
93	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
94	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
95	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
96	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
97	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
98	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
99	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
100	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
101	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
102	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
103	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
104	3	1	50.1337	-14.4992	-35.543	14.89	4	2001	3977	1	252
105	4	1	49.8358	-11.4977	179.313	-18.224	4	2001	740	1	252
106	4	1	49.8358	-11.4977	179.313	-18.224	4	2001	740	1	252
107	4	1	49.8358	-11.4977	179.313	-18.224	4	2001	740	1	252
108	4	1	49.8358	-11.4977	179.313	-18.224	4	2001	740	1	252
109	4	1	49.8358	-11.4977	179.313	-18.224	4	2001	740	1	252
110	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
111	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
112	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
113	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
114	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
115	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
116	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
117	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
118	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
119	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
120	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
121	5	2	49.8842	-11.633	169.599	-13.067	4	2001	1035	1	252
122	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
123	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
124	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
125	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
126	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
127	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
128	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
129	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
130	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
131	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
132	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
133	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
134	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
135	6	2	49.2672	-13.4825	37.488	-81.453	8	2001	4020	2	255
