SampleDepth	Sources	Station	Time	Latitude	Longitude	Xkm	Ykm	Month	Year	BottomDepth	Season	Discovery	RelativeDepth
517	28.73	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	3422
582	27.9	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	3357
547	23.44	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	3392
614	18.33	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	3325
1068	12.38	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	2871
1005	11.23	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	2934
1036	11.06	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	2903
1100	10.57	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	2839
1490	8.92	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	2449
1520	7.26	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	2419
1550	6.6	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	2389
1587	6.44	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	2352
1972	4.29	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	1967
2003	3.8	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	1936
2034	3.63	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	1905
2068	2.81	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	1871
2444	2.48	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	1495
2504	1.98	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	1435
2477	1.32	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	1462
2536	1.32	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	1403
3722	0.83	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	217
3446	0.66	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	493
3630	0.66	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	309
3660	0.66	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	279
3939	0.66	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	0
3414	0.5	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	525
3505	0.5	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	434
3534	0.5	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	405
3912	0.5	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	27
3568	0.33	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	371
3600	0.33	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	339
3697	0.33	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	242
3853	0.33	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	86
3880	0.33	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	59
3474	0.17	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	465
3789	0.17	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	150
3758	0	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	181
3818	0	1	3	50.1508	-14.4792	-34.106	16.779	4	2001	3939	1	252	121
501	21.53	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	3480
927	12.88	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	3054
865	12.53	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	3116
898	11.64	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	3083
955	11.47	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	3026
1319	10.23	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	2662
1380	9.17	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	2601
1412	8.82	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	2569
1352	7.94	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	2629
1799	6	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	2182
1767	4.59	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	2214
1828	3.88	2	3	50.091	-14.4665	-33.294	10.112	4	2001	3981	1	252	2153
