TransectName	Samples	Transect	Time	R	ROCK    	LITTER  	ML     	BARESOIL	FallPrec	SprPrec 	SumPrec 	WinPrec 	FallTmax	SprTmax 	SumTmax 	WinTmax 	FallTmin	SprTmin 	SumTmin 	WinTmin 	PCTSAND	PCTSILT	PCTOrgC
A_22_58 	1	1	1958	8	27	30	0	26	30.21999931	75.43000031	125.4700012	39.61999893	16.95999908	15.77000046	25.17000008	3.470000029	0.49000001	0.360000014	6.96999979	-8.539999962	24	30	0.03459
A_22_62 	2	1	1962	6	26	20	0	28	99.55999756	56.13000107	94.98999786	107.4400024	14.56000042	15.21000004	24.85000038	1.159999967	-0.180000007	0.180000007	6.400000095	-10.76000023	24	30	0.03459
A_22_67 	3	1	1967	8	30	24	0	30	43.43000031	65.01999664	112.2600021	76.69999695	18.44000053	12.76000023	25.51000023	3.089999914	1.230000019	-1.860000014	7.119999886	-8.5	24	30	0.03459
A_22_74 	4	1	1974	8	18	35	0	16	54.86000061	58.66999817	70.34999847	90.66999817	17.15999985	14	26.67000008	2.460000038	1.429999948	-0.529999971	7.199999809	-8.279999733	24	30	0.03459
A_22_81 	5	1	1981	10	23	22	4	9	24.37999916	87.62999725	81.77999878	45.97000122	18.48999977	14.32999992	26.02000046	5.71999979	1.090000033	0.75	6.900000095	-7.559999943	24	30	0.03459
A_22_94 	6	1	1994	7	26	26	0	23	10.15999985	57.15000153	95.25	60.70000076	17.38999939	16.90999985	26.78000069	3.640000105	0.280000001	0.639999986	6.940000057	-9.210000038	24	30	0.03459
A_22_02 	7	1	2002	6	39	19	4	19	34.29000092	31.48999977	62.99000168	43.68000031	19.29000092	13.85999966	26.27000046	2.539999962	1.860000014	-1.370000005	6.960000038	-9.609999657	24	30	0.03459
C_22_58 	8	2	1958	5	25	26	0	33	30.21999931	75.43000031	125.4700012	39.61999893	16.97999954	15.78999996	25.19000053	3.49000001	0.50999999	0.379999995	6.989999771	-8.520000458	20	34	0.0616
C_22_62 	9	2	1962	8	24	24	2	29	99.55999756	56.13000107	94.98999786	107.4400024	14.57999992	15.22999954	24.87000084	1.179999948	-0.159999996	0.189999998	6.409999847	-10.73999977	20	34	0.0616
C_22_67 	10	2	1967	6	21	16	1	41	43.43000031	65.01999664	112.2600021	76.69999695	18.45999908	12.77999973	25.53000069	3.109999895	1.25	-1.850000024	7.139999866	-8.479999542	20	34	0.0616
C_22_74 	11	2	1974	6	18	25	0	33	54.86000061	58.66999817	70.34999847	90.66999817	17.18000031	14.01000023	26.68000031	2.470000029	1.450000048	-0.519999981	7.21999979	-8.270000458	20	34	0.0616
C_22_81 	12	2	1981	6	19	28	0	14	24.37999916	87.62999725	81.77999878	45.97000122	18.51000023	14.35000038	26.04000092	5.739999771	1.110000014	0.75999999	6.920000076	-7.539999962	20	34	0.0616
C_22_94 	13	2	1994	6	10.5	41.5	0	29	10.15999985	57.15000153	95.25	60.70000076	17.40999985	16.92000008	26.79999924	3.650000095	0.300000012	0.649999976	6.960000038	-9.18999958	20	34	0.0616
C_22_02 	14	2	2002	6	26	18	2	42	34.29000092	31.48999977	62.99000168	43.68000031	19.30999947	13.88000011	26.29000092	2.559999943	1.879999995	-1.350000024	6.980000019	-9.590000153	20	34	0.0616
D_12_58 	15	3	1958	7	56	17	0	16	33.77999878	107.9499969	181.6100006	105.1500015	13	11.78999996	21.12000084	-0.319999993	-3.279999971	-3.430000067	3.109999895	-12.22999954	14	46	0.0363
D_12_62 	16	3	1962	10	45	7	0	23	143.5099945	73.40000153	125.7300034	173.4799957	10.64999962	11.25	20.80999947	-2.579999924	-3.910000086	-3.579999924	2.549999952	-14.38000011	14	46	0.0363
D_12_67 	17	3	1967	8	28	14	0	37	56.38000107	83.05000305	121.1500015	117.5999985	14.42000008	8.909999847	21.42000008	-0.720000029	-2.549999952	-5.590000153	3.25	-12.19999981	14	46	0.0363
