,Date,Country,City,Killed,Injured,Description
1,1/1/2002,Indonesia,Palu,1,0,Four bombs explode at Christian churches and one man dies in a hand grenade attack in Jakarta.
2,1/1/2002,India,Baramulla,1,0,Terrorists enter the home of a civilian and kill his wife.
3,1/1/2002,India,Poshkar,2,0,Two civilians are abducted from their homes then executed by the Mujahideen.
4,1/2/2002,India,Rajouri,6,9,Three separate terror attacks in the district leave a civilian and five security forces dead.
5,1/2/2002,India,Jehangir Chowk,2,25,A Muslim militant kills two and injures twenty-five in a grenade attack on a city street.
6,1/3/2002,Pakistan,Karachi,1,0,A cleric is gunned down in a sectarian attack.
7,1/4/2002,India,Kashmir,2,0,Two civilians are abducted and killed by the Mujahideen in separate incidents (Badran and Kulgam).
8,1/5/2002,India,Mahore,2,3,An ambush on a security patrol leaves two members dead.
9,1/6/2002,India,Ramsu,3,12,Three brothers are killed in their home by Lashkar-e-Toiba terrorists.  A dozen others are injured in the attack.
10,1/6/2002,India,Luddu,4,4,"Four civilians, three of whom were in the same family are gunned down when fleeing their home after Jaish-e-Mohammed cadres flush them out with grenades."
11,1/6/2002,USA,"Tampa, FL",0,0,Fifteen year-old flies plane into an office building in Tampa. Suicide note reveals his admiration for Osama Bin Laden and desire to commit a terrorist attack.
12,1/8/2002,India,Srinagar,1,2,Soldier killed by two Mujahideen suicide attackers.
13,1/9/2002,Israel,Kerem Shalom,4,2,Palestinian terrorists infiltrate border and kill four soldiers. Two others were wounded.
14,1/9/2002,Pakistan,Gulshan-i-Iqbal,1,0,Government official is killed by Islamists.
15,1/10/2002,India,Bafliaz,1,0,Terrorists kill a village official.
16,1/13/2002,India,Beerwah,1,0,A civilian is murdered by the Mujahideen.
17,1/14/2002,India,Kashmir,6,3,"In separate attacks, three civilians are killed by Islamic militants.  A security checkpoint is attacked as well, with three security forces killed."
18,1/15/2002,Israel,Givat Ze-ev,1,1,Woman killed near gas station. Her aunt is injured in the shooting attack by Palestinians.
19,1/15/2002,Israel,Beit Jala,1,0,An American citizen is kidnapped then killed by Al-Aqsa Brigade.
20,1/15/2002,India,Keri,2,0,A man and his wife are abducted and killed by Lashkar-e-Toiba.
