"","v1","v2","target"
"1",4.9,3,-1
"2",4.7,3.2,-1
"3",4.6,3.1,-1
"4",5,3.6,-1
"5",5.4,3.9,-1
"6",4.6,3.4,-1
"7",5,3.4,-1
"8",4.4,2.9,-1
"9",4.9,3.1,-1
"10",5.4,3.7,-1
"11",4.8,3.4,-1
"12",4.8,3,-1
"13",4.3,3,-1
"14",5.8,4,-1
"15",5.7,4.4,-1
"16",5.4,3.9,-1
"17",5.1,3.5,-1
"18",5.7,3.8,-1
"19",5.1,3.8,-1
"20",5.4,3.4,-1
"21",5.1,3.7,-1
"22",4.6,3.6,-1
"23",5.1,3.3,-1
"24",4.8,3.4,-1
"25",5,3,-1
"26",5,3.4,-1
"27",5.2,3.5,-1
"28",5.2,3.4,-1
"29",4.7,3.2,-1
"30",4.8,3.1,-1
"31",5.4,3.4,-1
"32",5.2,4.1,-1
"33",5.5,4.2,-1
"34",4.9,3.1,-1
"35",5,3.2,-1
"36",5.5,3.5,-1
"37",4.9,3.1,-1
"38",4.4,3,-1
"39",5.1,3.4,-1
"40",5,3.5,-1
"41",4.5,2.3,-1
"42",4.4,3.2,-1
"43",5,3.5,-1
"44",5.1,3.8,-1
"45",4.8,3,-1
"46",5.1,3.8,-1
"47",4.6,3.2,-1
"48",5.3,3.7,-1
"49",5,3.3,-1
"50",7,3.2,1
"51",6.4,3.2,1
"52",6.9,3.1,1
"53",5.5,2.3,1
"54",6.5,2.8,1
"55",5.7,2.8,1
"56",6.3,3.3,1
"57",4.9,2.4,1
"58",6.6,2.9,1
"59",5.2,2.7,1
"60",5,2,1
"61",5.9,3,1
"62",6,2.2,1
"63",6.1,2.9,1
"64",5.6,2.9,1
"65",6.7,3.1,1
"66",5.6,3,1
"67",5.8,2.7,1
"68",6.2,2.2,1
"69",5.6,2.5,1
"70",5.9,3.2,1
"71",6.1,2.8,1
"72",6.3,2.5,1
"73",6.1,2.8,1
"74",6.4,2.9,1
"75",6.6,3,1
"76",6.8,2.8,1
"77",6.7,3,1
"78",6,2.9,1
"79",5.7,2.6,1
"80",5.5,2.4,1
"81",5.5,2.4,1
"82",5.8,2.7,1
"83",6,2.7,1
"84",5.4,3,1
"85",6,3.4,1
"86",6.7,3.1,1
"87",6.3,2.3,1
"88",5.6,3,1
"89",5.5,2.5,1
"90",5.5,2.6,1
"91",6.1,3,1
"92",5.8,2.6,1
"93",5,2.3,1
"94",5.6,2.7,1
"95",5.7,3,1
"96",5.7,2.9,1
"97",6.2,2.9,1
"98",5.1,2.5,1
"99",5.7,2.8,1
