        m100	weit	kugel	hoch	m400	hurd	disc	stab	speer	m1500	punkte
OBRIEN	10.5	7.57	15.66	207	46.82	13.87	48.78	500	66.9	285.89	8824
BUSEMANN	10.6	8.07	13.6	204	48.34	13.47	45.04	480	66.86	271.41	8706
DVORAK	10.64	7.6	15.82	198	48.29	13.79	46.28	470	70.16	271.25	8664
FRITZ	10.9	7.77	15.31	204	50.13	13.97	49.84	510	65.7	278.26	8644
HAMALAINEN	10.85	7.48	16.32	198	46.91	13.95	49.62	500	57.66	274.68	8613
NOOL	10.65	7.88	14.01	201	47.26	15.03	42.98	540	65.48	283.36	8543
ZMELIK	10.83	7.64	13.53	195	49.55	14.17	43.44	540	67.2	278.45	8422
GANIYEV	10.84	7.61	14.71	213	49.14	14.88	44.86	520	53.7	282.74	8318
PENALVER	10.95	7.27	16.91	207	50.41	14.35	48.92	470	57.08	277.71	8307
HUFFINS	10.47	7.49	15.57	204	48.83	14.1	48.72	470	60.62	314.36	8300
PLAZIAT	10.85	7.82	14.85	204	49.07	14.52	45.34	490	52.18	275	8282
MAGNUSSON	10.67	7.28	15.52	195	47.17	14.22	43.78	480	61.1	286.97	8274
SMITH	11.08	7.47	16.97	195	51.97	14.78	49.54	500	64.34	283.81	8271
MUELLER	10.95	7.25	14.69	195	49.05	14.86	45.9	510	66.1	277.5	8253
CHMARA	11.28	7.75	14.51	210	48.75	14.59	42.6	490	54.84	266.96	8249
DAMASEK	10.86	7.22	15.51	201	47.35	14.94	42.66	490	55.84	266.86	8229
LEVICQ	11.17	7.16	14.05	192	50.55	14.5	45	540	64.42	269.5	8192
DOST	10.87	7.21	13.91	195	48.19	14.52	41.92	520	57.76	278.81	8111
BENET	10.95	7.3	13.91	198	48.67	14.36	44.3	480	59.44	276.04	8107
PAJONK	10.67	7.5	14.46	195	48.81	14.79	41.94	450	54.16	261.62	8045
ROSENDAAL	11.24	7.33	13.59	207	50.93	14.46	41.24	470	63.8	265.98	8035
KOLPAKOV	11.15	7.53	14.33	207	48.12	14.3	45.66	480	53.58	305.41	8025
PIZIKIS	11.4	6.86	14.6	216	51.48	15.2	45.9	500	58.4	270.88	7994
PIRINI	10.89	7.33	14.75	189	48.56	14.88	45.34	460	58.02	279.09	7961
BALANQUE	10.71	6.36	14.11	189	47.46	14.07	41.64	470	59.92	278.97	7873
DUANY	11.2	7.3	13.78	207	50.5	14.84	38.56	440	62.86	275.59	7802
KURTOSI	11.09	7.05	14.29	201	50.43	14.64	43.22	460	54.8	283.21	7755
HUBER	11.06	7.15	13.34	186	48.72	15.08	43.32	460	51.96	258.15	7743
KASAPOGLU	11.07	7.22	12.89	192	49.61	14.55	40.64	480	45.24	278.69	7575
POSERINA	11.05	6.98	0	198	49.52	14.68	43.42	480	56.78	298.28	7013
AFANASYEV	11.44	6.74	13.38	198	50.83	14.79	43.08	0	55.12	281	6711
